CustomerID,Segment,ML_Cluster,Churn_Risk_Tier,P_Alive_Pct,Churn_Risk_Pct,Recency,Frequency,Monetary,Tenure,AvgOrderValue,TopCategory,R_Score,F_Score,M_Score,T_Score,RFM_Score,RFMT_Mean,Expected_Orders_90d,Predicted_Spend_90d,Predictive_CLV_90d,PCA_1,PCA_2,PCA_3,Strategic_Objective,Recommended_Channel,Recommended_Promotion,Primary_Action_Item,Campaign_Email_Subject,Campaign_CTA,FirstPurchase,LastPurchase,TotalItems,TotalTransactions
CUST-0423,Champions,Cluster 3,🟢 Low Churn Risk,87.9,12.1,17,22,22790.93,537,1035.95,Smart Office & Furniture,5,5,5,4,555,4.75,3.08,3186.34,1115.22,2.1809,-0.9326,0.099,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-03-01 13:26:57,2026-08-03 21:08:40,133,38
CUST-0059,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,342,17,21762.32,450,1280.14,Electronics & Audio,1,5,5,3,155,3.5,0.06,82.23,28.78,1.8042,0.8471,-1.2379,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-05-27 08:53:33,2025-09-12 10:27:28,97,23
CUST-0110,Champions,Cluster 3,🟢 Low Churn Risk,90.7,9.3,7,22,20658.7,311,939.03,Smart Office & Furniture,5,5,5,2,555,4.25,5.11,4794.38,1678.03,1.8999,-1.6918,0.1225,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-10-12 22:36:12,2026-08-13 12:14:34,129,34
CUST-0362,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,292,18,20310.21,589,1128.34,Electronics & Audio,1,5,5,5,155,4.0,0.05,60.09,21.03,1.949,0.886,-0.976,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-01-08 10:36:58,2025-11-01 14:50:01,101,26
CUST-0035,Champions,Cluster 3,🟢 Low Churn Risk,86.6,13.4,22,20,20297.79,566,1014.89,Electronics & Audio,4,5,5,4,455,4.5,2.64,2678.43,937.45,2.0682,-0.718,0.0776,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-01-31 09:30:42,2026-07-29 09:51:32,96,27
CUST-0062,Champions,Cluster 3,🟢 Low Churn Risk,93.9,6.1,4,20,20250.44,451,1012.52,Electronics & Audio,5,5,5,3,555,4.5,3.51,3551.51,1243.03,1.9914,-1.7699,0.5831,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-05-26 12:09:10,2026-08-15 22:22:05,100,26
CUST-0307,Champions,Cluster 3,🟢 Low Churn Risk,86.7,13.3,18,22,20237.53,512,919.89,Electronics & Audio,4,5,5,4,455,4.5,3.16,2911.44,1019.0,2.1048,-0.9049,0.0855,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-03-26 08:04:56,2026-08-01 22:02:58,99,27
CUST-0323,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,268,18,19962.98,717,1109.05,Electronics & Audio,1,5,5,5,155,4.0,0.04,49.33,17.27,2.0341,0.9359,-0.8046,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2024-09-02 10:29:20,2025-11-25 14:40:25,113,27
CUST-0153,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,322,14,19889.45,407,1420.68,Electronics & Audio,1,4,5,3,145,3.25,0.06,83.23,29.13,1.5571,0.8119,-1.2284,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-07-09 14:03:40,2025-10-02 19:45:47,102,24
CUST-0292,Champions,Cluster 3,🟢 Low Churn Risk,87.1,12.9,19,18,19035.6,459,1057.53,Smart Office & Furniture,4,5,5,3,455,4.25,2.9,3065.77,1073.02,1.8564,-0.8788,0.0325,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-05-17 22:10:32,2026-07-31 21:27:51,106,27
