InvoiceNo,CustomerID,PurchaseDate,ProductCategory,Product,Quantity,UnitPrice,TotalSpend
INV-103310,CUST-0323,2024-09-02 10:29:20,Computer Accessories,Premium Aluminum Monitor Arm,3,80.16,240.48
INV-103310,CUST-0323,2024-09-02 20:03:29,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,5,96.64,483.2
INV-103309,CUST-0323,2024-09-02 20:51:22,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,3,579.86,1739.58
INV-103327,CUST-0002,2024-09-07 19:58:09,Wearables & Fitness,Titanium GPS Smart Fitness Watch,4,305.1,1220.4
INV-103062,CUST-0123,2024-09-09 17:56:23,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,33.04,66.08
INV-103062,CUST-0123,2024-09-09 21:15:48,Computer Accessories,Custom Mechanical RGB Keyboard,5,157.03,785.15
INV-102661,CUST-0142,2024-09-14 18:06:25,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,32.97,65.94
INV-103100,CUST-0010,2024-09-16 13:43:50,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,4,516.5,2066.0
INV-102535,CUST-0018,2024-09-16 20:49:53,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,325.07,1625.35
INV-102662,CUST-0142,2024-09-17 09:14:50,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,3,540.35,1621.05
INV-103447,CUST-0392,2024-09-19 22:06:23,Smart Office & Furniture,Smart LED Desk Bar Lamp,5,59.92,299.6
INV-103448,CUST-0392,2024-09-20 08:30:52,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,2,335.93,671.86
INV-103052,CUST-0030,2024-09-22 08:12:20,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,3,296.32,888.96
INV-102621,CUST-0311,2024-09-22 13:46:35,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,34.77,34.77
INV-103880,CUST-0236,2024-09-24 09:03:43,Computer Accessories,Custom Mechanical RGB Keyboard,1,145.49,145.49
INV-103785,CUST-0037,2024-09-24 11:07:55,Computer Accessories,Custom Mechanical RGB Keyboard,1,143.79,143.79
INV-103880,CUST-0236,2024-09-24 17:49:35,Wearables & Fitness,Titanium GPS Smart Fitness Watch,1,241.74,241.74
INV-103880,CUST-0236,2024-09-24 22:52:37,Wearables & Fitness,Heart Rate Performance Sensor Band,2,86.05,172.1
INV-100929,CUST-0340,2024-09-25 09:02:08,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,4,95.75,383.0
INV-100929,CUST-0340,2024-09-25 10:05:35,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,322.23,1611.15
INV-103311,CUST-0323,2024-09-26 16:28:00,Computer Accessories,Custom Mechanical RGB Keyboard,6,186.05,1116.3
INV-103311,CUST-0323,2024-09-26 17:40:37,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,353.24,1766.2
INV-103856,CUST-0317,2024-09-28 08:27:04,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,29.95,59.9
INV-103856,CUST-0317,2024-09-28 15:46:57,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,1,287.9,287.9
INV-103449,CUST-0392,2024-09-29 16:37:23,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,3,95.3,285.9
INV-103588,CUST-0410,2024-09-30 21:41:48,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),6,40.3,241.8
INV-101059,CUST-0097,2024-10-03 22:07:12,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,336.37,1681.85
INV-100790,CUST-0202,2024-10-05 15:38:21,Wearables & Fitness,Heart Rate Performance Sensor Band,3,96.66,289.98
INV-103601,CUST-0412,2024-10-06 12:05:49,Smart Office & Furniture,Motorized Standing Desk Frame,5,450.91,2254.55
INV-102797,CUST-0345,2024-10-07 11:58:31,Smart Office & Furniture,Smart LED Desk Bar Lamp,5,51.93,259.65
INV-103768,CUST-0237,2024-10-07 13:38:09,Computer Accessories,Custom Mechanical RGB Keyboard,2,139.81,279.62
INV-103137,CUST-0001,2024-10-07 14:02:07,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,53.39,160.17
INV-103137,CUST-0001,2024-10-07 15:22:39,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,32.81,32.81
INV-103137,CUST-0001,2024-10-07 17:52:24,Computer Accessories,Custom Mechanical RGB Keyboard,4,151.51,606.04
INV-103184,CUST-0192,2024-10-07 18:48:30,Wearables & Fitness,Heart Rate Performance Sensor Band,2,96.01,192.02
INV-103768,CUST-0237,2024-10-07 20:36:18,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,34.77,34.77
INV-102797,CUST-0345,2024-10-07 21:09:38,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,1,81.1,81.1
INV-103038,CUST-0124,2024-10-08 13:11:58,Computer Accessories,Premium Aluminum Monitor Arm,4,67.0,268.0
INV-103038,CUST-0124,2024-10-08 20:21:41,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,5,92.7,463.5
INV-100013,CUST-0042,2024-10-12 16:23:04,Smart Office & Furniture,Motorized Standing Desk Frame,6,423.63,2541.78
INV-100052,CUST-0180,2024-10-13 08:02:08,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,4,39.6,158.4
INV-101060,CUST-0097,2024-10-13 10:13:55,Smart Office & Furniture,Smart LED Desk Bar Lamp,5,55.04,275.2
INV-100052,CUST-0180,2024-10-13 11:38:32,Computer Accessories,Premium Aluminum Monitor Arm,3,72.4,217.2
INV-100014,CUST-0042,2024-10-13 12:47:01,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,4,41.12,164.48
INV-100014,CUST-0042,2024-10-13 13:15:46,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,56.26,168.78
INV-100014,CUST-0042,2024-10-13 15:02:40,Smart Office & Furniture,Smart LED Desk Bar Lamp,1,54.51,54.51
INV-100052,CUST-0180,2024-10-13 15:33:29,Computer Accessories,Premium Aluminum Monitor Arm,6,70.0,420.0
INV-101310,CUST-0437,2024-10-13 15:48:15,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,4,87.71,350.84
INV-101798,CUST-0248,2024-10-13 18:38:28,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,4,86.93,347.72
INV-100725,CUST-0152,2024-10-13 21:15:33,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),6,36.9,221.4
INV-101702,CUST-0232,2024-10-15 11:39:07,Wearables & Fitness,Heart Rate Performance Sensor Band,1,87.87,87.87
INV-101702,CUST-0232,2024-10-15 19:17:34,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,31.31,62.62
INV-101702,CUST-0232,2024-10-15 20:38:34,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,33.29,33.29
INV-103185,CUST-0192,2024-10-16 14:47:53,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,3,317.01,951.03
INV-103185,CUST-0192,2024-10-16 20:31:57,Computer Accessories,Custom Mechanical RGB Keyboard,4,155.39,621.56
INV-101369,CUST-0069,2024-10-19 15:57:57,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,1,270.85,270.85
INV-101369,CUST-0069,2024-10-19 17:51:40,Electronics & Audio,Thunderbolt 4 Docking Station,4,183.96,735.84
INV-101369,CUST-0069,2024-10-19 18:34:23,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,31.53,94.59
INV-101078,CUST-0176,2024-10-21 12:04:16,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,34.64,34.64
INV-103063,CUST-0123,2024-10-21 12:05:05,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,4,92.14,368.56
INV-100376,CUST-0160,2024-10-21 12:15:18,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,95.0,95.0
INV-100376,CUST-0160,2024-10-21 13:33:34,Computer Accessories,Custom Mechanical RGB Keyboard,3,163.83,491.49
INV-103063,CUST-0123,2024-10-21 16:20:09,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,36.81,36.81
INV-101078,CUST-0176,2024-10-21 20:51:24,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,3,40.2,120.6
INV-101078,CUST-0176,2024-10-21 22:08:37,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,3,89.29,267.87
INV-101481,CUST-0221,2024-10-22 15:58:42,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,48.32,144.96
INV-103312,CUST-0323,2024-10-23 11:25:47,Computer Accessories,Custom Mechanical RGB Keyboard,6,174.32,1045.92
INV-102102,CUST-0371,2024-10-23 14:31:57,Smart Office & Furniture,Smart LED Desk Bar Lamp,2,48.29,96.58
INV-101703,CUST-0232,2024-10-26 15:52:13,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,87.9,87.9
INV-100015,CUST-0042,2024-10-28 13:08:02,Electronics & Audio,Thunderbolt 4 Docking Station,5,212.37,1061.85
INV-103867,CUST-0041,2024-10-29 22:14:01,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,34.91,34.91
INV-103328,CUST-0002,2024-10-30 11:50:47,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,62.05,186.15
INV-101079,CUST-0176,2024-10-31 22:54:57,Electronics & Audio,Thunderbolt 4 Docking Station,2,212.67,425.34
INV-100957,CUST-0046,2024-11-02 11:30:42,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,90.96,90.96
INV-101370,CUST-0069,2024-11-03 09:47:06,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,2,488.04,976.08
INV-103329,CUST-0002,2024-11-03 15:42:51,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,6,42.0,252.0
INV-101370,CUST-0069,2024-11-03 16:08:51,Wearables & Fitness,Heart Rate Performance Sensor Band,2,86.34,172.68
INV-101370,CUST-0069,2024-11-03 17:06:15,Smart Office & Furniture,Smart LED Desk Bar Lamp,4,49.12,196.48
INV-103329,CUST-0002,2024-11-03 18:15:53,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,5,44.44,222.2
INV-101061,CUST-0097,2024-11-04 11:05:46,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,35.26,35.26
INV-103064,CUST-0123,2024-11-04 13:56:41,Computer Accessories,Premium Aluminum Monitor Arm,2,66.37,132.74
INV-103602,CUST-0412,2024-11-05 17:17:31,Computer Accessories,Custom Mechanical RGB Keyboard,2,179.22,358.44
INV-101771,CUST-0197,2024-11-05 22:01:41,Wearables & Fitness,Heart Rate Performance Sensor Band,4,90.88,363.52
INV-100958,CUST-0046,2024-11-07 09:50:01,Smart Office & Furniture,Smart LED Desk Bar Lamp,4,53.37,213.48
INV-100958,CUST-0046,2024-11-07 13:48:48,Electronics & Audio,Thunderbolt 4 Docking Station,6,212.02,1272.12
INV-100958,CUST-0046,2024-11-07 22:47:53,Smart Office & Furniture,Smart LED Desk Bar Lamp,4,55.0,220.0
INV-102870,CUST-0368,2024-11-09 13:54:55,Electronics & Audio,Thunderbolt 4 Docking Station,4,199.29,797.16
INV-103039,CUST-0124,2024-11-10 08:40:43,Wearables & Fitness,Heart Rate Performance Sensor Band,4,92.93,371.72
INV-102536,CUST-0018,2024-11-11 08:38:10,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,316.46,1582.3
INV-103040,CUST-0124,2024-11-11 08:54:36,Wearables & Fitness,Heart Rate Performance Sensor Band,1,91.66,91.66
INV-100208,CUST-0174,2024-11-11 09:17:24,Smart Office & Furniture,Smart LED Desk Bar Lamp,5,54.9,274.5
INV-103040,CUST-0124,2024-11-11 19:15:52,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,1,304.16,304.16
INV-101958,CUST-0268,2024-11-13 15:38:39,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,50.74,152.22
INV-103065,CUST-0123,2024-11-14 13:14:02,Computer Accessories,Custom Mechanical RGB Keyboard,1,163.19,163.19
INV-103834,CUST-0117,2024-11-17 12:24:52,Wearables & Fitness,Heart Rate Performance Sensor Band,2,87.47,174.94
INV-102663,CUST-0142,2024-11-18 08:45:37,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,4,38.4,153.6
INV-103450,CUST-0392,2024-11-18 09:05:02,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,2,325.45,650.9
INV-102663,CUST-0142,2024-11-18 11:44:31,Wearables & Fitness,Heart Rate Performance Sensor Band,3,95.82,287.46
INV-103771,CUST-0424,2024-11-18 11:55:53,Wearables & Fitness,Heart Rate Performance Sensor Band,1,84.67,84.67
INV-103450,CUST-0392,2024-11-18 12:26:05,Wearables & Fitness,Titanium GPS Smart Fitness Watch,3,302.34,907.02
INV-101658,CUST-0218,2024-11-18 12:42:16,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,3,292.05,876.15
INV-101658,CUST-0218,2024-11-18 14:13:46,Electronics & Audio,Thunderbolt 4 Docking Station,4,184.37,737.48
INV-100416,CUST-0012,2024-11-18 19:30:44,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,1,88.46,88.46
INV-101658,CUST-0218,2024-11-18 20:59:18,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,2,84.06,168.12
INV-100377,CUST-0160,2024-11-18 22:11:30,Wearables & Fitness,Heart Rate Performance Sensor Band,3,94.58,283.74
INV-100755,CUST-0060,2024-11-19 10:44:25,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,5,332.9,1664.5
INV-101080,CUST-0176,2024-11-19 11:36:30,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,1,303.03,303.03
INV-103196,CUST-0397,2024-11-19 15:48:15,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,2,318.26,636.52
INV-103196,CUST-0397,2024-11-19 16:38:26,Wearables & Fitness,Heart Rate Performance Sensor Band,4,103.58,414.32
INV-100755,CUST-0060,2024-11-19 22:34:39,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,4,88.9,355.6
INV-103018,CUST-0044,2024-11-21 08:54:08,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,4,280.07,1120.28
INV-101704,CUST-0232,2024-11-21 12:00:27,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,33.6,67.2
INV-101704,CUST-0232,2024-11-21 20:28:35,Electronics & Audio,Thunderbolt 4 Docking Station,3,196.09,588.27
INV-103018,CUST-0044,2024-11-21 22:21:51,Smart Office & Furniture,Motorized Standing Desk Frame,5,401.8,2009.0
INV-100917,CUST-0264,2024-11-23 10:01:35,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,6,96.58,579.48
INV-100917,CUST-0264,2024-11-23 18:30:22,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,4,86.75,347.0
INV-103041,CUST-0124,2024-11-24 09:05:38,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,35.01,105.03
INV-101275,CUST-0239,2024-11-24 13:07:50,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,3,36.99,110.97
INV-101275,CUST-0239,2024-11-24 20:30:45,Electronics & Audio,Thunderbolt 4 Docking Station,4,189.53,758.12
INV-103792,CUST-0422,2024-11-26 11:01:38,Wearables & Fitness,Titanium GPS Smart Fitness Watch,2,234.3,468.6
INV-103792,CUST-0422,2024-11-26 13:54:25,Wearables & Fitness,Titanium GPS Smart Fitness Watch,1,244.31,244.31
INV-103554,CUST-0198,2024-11-26 15:12:25,Smart Office & Furniture,Smart LED Desk Bar Lamp,3,60.22,180.66
INV-103747,CUST-0434,2024-11-27 08:23:32,Smart Office & Furniture,Motorized Standing Desk Frame,1,366.04,366.04
INV-101772,CUST-0197,2024-11-28 19:14:33,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,3,85.42,256.26
INV-103688,CUST-0384,2024-11-29 14:56:35,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,79.26,79.26
INV-100930,CUST-0340,2024-11-29 16:19:23,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,97.09,97.09
INV-102103,CUST-0371,2024-11-29 18:24:43,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,2,484.3,968.6
INV-103688,CUST-0384,2024-11-29 20:12:19,Computer Accessories,Premium Aluminum Monitor Arm,2,60.96,121.92
INV-100188,CUST-0418,2024-11-30 15:23:24,Wearables & Fitness,Heart Rate Performance Sensor Band,1,95.9,95.9
INV-100188,CUST-0418,2024-11-30 16:00:02,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,34.97,34.97
INV-103503,CUST-0129,2024-12-01 09:23:50,Smart Office & Furniture,Motorized Standing Desk Frame,6,457.37,2744.22
INV-101659,CUST-0218,2024-12-02 10:55:07,Smart Office & Furniture,Smart LED Desk Bar Lamp,1,48.3,48.3
INV-102162,CUST-0297,2024-12-03 08:26:05,Computer Accessories,Custom Mechanical RGB Keyboard,3,150.8,452.4
INV-101467,CUST-0281,2024-12-03 10:10:26,Electronics & Audio,Thunderbolt 4 Docking Station,2,195.58,391.16
INV-103074,CUST-0158,2024-12-03 10:26:52,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,37.51,37.51
INV-100417,CUST-0012,2024-12-03 15:05:43,Computer Accessories,Premium Aluminum Monitor Arm,1,69.52,69.52
INV-101824,CUST-0304,2024-12-04 08:05:53,Computer Accessories,Custom Mechanical RGB Keyboard,2,147.22,294.44
INV-102871,CUST-0368,2024-12-04 11:04:53,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,3,298.25,894.75
INV-101824,CUST-0304,2024-12-04 19:21:37,Wearables & Fitness,Titanium GPS Smart Fitness Watch,2,249.43,498.86
INV-102871,CUST-0368,2024-12-04 21:00:55,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,3,85.7,257.1
INV-102786,CUST-0096,2024-12-05 10:14:00,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,5,85.99,429.95
INV-102786,CUST-0096,2024-12-05 11:05:24,Wearables & Fitness,Titanium GPS Smart Fitness Watch,2,253.85,507.7
INV-102786,CUST-0096,2024-12-05 13:46:51,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,3,91.35,274.05
INV-101371,CUST-0069,2024-12-05 15:42:37,Computer Accessories,Custom Mechanical RGB Keyboard,3,147.93,443.79
INV-103042,CUST-0124,2024-12-06 09:05:35,Wearables & Fitness,Titanium GPS Smart Fitness Watch,4,268.43,1073.72
INV-103101,CUST-0010,2024-12-06 09:43:04,Computer Accessories,Custom Mechanical RGB Keyboard,4,163.35,653.4
INV-103699,CUST-0135,2024-12-06 10:06:59,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,2,32.96,65.92
INV-103042,CUST-0124,2024-12-06 13:32:13,Wearables & Fitness,Titanium GPS Smart Fitness Watch,1,265.27,265.27
INV-101324,CUST-0388,2024-12-06 15:05:30,Wearables & Fitness,Heart Rate Performance Sensor Band,2,88.85,177.7
INV-103101,CUST-0010,2024-12-06 15:17:34,Wearables & Fitness,Titanium GPS Smart Fitness Watch,5,265.63,1328.15
INV-103699,CUST-0135,2024-12-06 16:09:44,Wearables & Fitness,Heart Rate Performance Sensor Band,2,85.17,170.34
INV-102014,CUST-0165,2024-12-07 14:02:32,Electronics & Audio,Thunderbolt 4 Docking Station,1,195.23,195.23
INV-101117,CUST-0316,2024-12-08 08:09:38,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,31.5,63.0
INV-103555,CUST-0198,2024-12-08 08:16:44,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,3,43.31,129.93
